(1, 1): 0.9348, 0.0107, 0.0088, 0.0005
(1, 2): -0.1983, 0.0102, 0.0108, 0.0015
(1, 3): -0.1663, 0.0100, 0.0099, 0.0060
(1, 4): 1.4000, 0.0101, 0.0065, 0.0070
(1, 5): -0.1934, 0.0100, 0.0096, 0.0050
(1, 6): -0.1883, 0.0107, 0.0101, 0.0025
(1, 7): 1.4035, 0.0101, 0.0058, 0.0100
(1, 8): 0.4830, 0.0100, 0.0051, 0.0460
(1, 9): 0.4657, 0.0100, 0.0046, 0.0910
(1, 10): 0.4045, 0.0100, 0.0042, 0.1301
(1, 11): 0.4851, 0.0100, 0.0043, 0.0860
(1, 12): 0.4839, 0.0100, 0.0055, 0.0260
(1, 13): 0.2368, 0.0100, 0.0059, 0.0150
(1, 14): 0.7439, 0.0101, 0.0060, 0.0110
(1, 15): 1.4081, 0.0101, 0.0070, 0.0030
(1, 16): 0.1529, 0.0101, 0.0079, 0.0070
(1, 17): 0.5235, 0.0100, 0.0063, 0.0155
(1, 18): -0.1982, 0.0097, 0.0074, 0.0505
(1, 19): -0.1661, 0.0100, 0.0057, 0.0970
(1, 20): 0.4702, 0.0100, 0.0037, 0.1156
(1, 21): 0.4831, 0.0100, 0.0039, 0.0895
(1, 22): 0.5910, 0.0100, 0.0045, 0.0405
(2, 1): -0.3070, 0.0101, 0.0138, 0.0000
(2, 2): -0.2787, 0.0103, 0.0126, 0.0005
(2, 3): -0.3353, 0.0101, 0.0132, 0.0055
(2, 4): 1.3671, 0.0103, 0.0073, 0.0065
(2, 5): 1.3887, 0.0101, 0.0076, 0.0035
(2, 6): -0.2701, 0.0100, 0.0124, 0.0015
(2, 7): -0.0781, 0.0101, 0.0084, 0.0085
(2, 8): -0.2179, 0.0100, 0.0075, 0.0430
(2, 9): 0.4746, 0.0100, 0.0045, 0.1081
(2, 10): 0.4071, 0.0100, 0.0042, 0.1456
(2, 11): 0.4722, 0.0100, 0.0045, 0.0855
(2, 12): 0.4472, 0.0100, 0.0061, 0.0120
(2, 13): -0.2705, 0.0100, 0.0093, 0.0095
(2, 14): -0.2989, 0.0100, 0.0100, 0.0095
(2, 15): 1.4073, 0.0101, 0.0065, 0.0180
(2, 16): 0.7606, 0.0100, 0.0063, 0.0290
(2, 17): -0.2027, 0.0100, 0.0079, 0.0445
(2, 18): -0.1837, 0.0096, 0.0074, 0.0735
(2, 19): 0.4628, 0.0100, 0.0041, 0.1356
(2, 20): -0.1510, 0.0100, 0.0049, 0.1851
(2, 21): 0.4815, 0.0100, 0.0035, 0.1936
(2, 22): 0.4700, 0.0100, 0.0037, 0.1741
(3, 1): -0.3863, 0.0107, 0.0145, 0.0005
(3, 2): -0.3516, 0.0104, 0.0139, 0.0030
(3, 3): 1.4111, 0.0101, 0.0092, 0.0035
(3, 4): 1.3650, 0.0103, 0.0088, 0.0010
(3, 5): 1.3898, 0.0102, 0.0104, 0.0015
(3, 6): 1.2800, 0.0110, 0.0108, 0.0015
(3, 7): 0.3165, 0.0100, 0.0100, 0.0035
(3, 8): -0.2387, 0.0100, 0.0096, 0.0135
(3, 9): 0.2536, 0.0100, 0.0061, 0.0430
(3, 10): 0.5933, 0.0100, 0.0049, 0.0625
(3, 11): -0.2324, 0.0100, 0.0076, 0.0445
(3, 12): 0.5009, 0.0100, 0.0070, 0.0100
(3, 13): 0.4872, 0.0100, 0.0072, 0.0150
(3, 14): -0.3135, 0.0100, 0.0110, 0.0175
(3, 15): 0.1886, 0.0100, 0.0081, 0.0200
(3, 16): -0.2875, 0.0100, 0.0098, 0.0400
(3, 17): 0.4274, 0.0101, 0.0059, 0.0620
(3, 18): 0.6050, 0.0100, 0.0049, 0.0885
(3, 19): 0.4858, 0.0100, 0.0038, 0.1641
(3, 20): 0.4845, 0.0100, 0.0033, 0.2466
(3, 21): 0.4823, 0.0100, 0.0032, 0.2661
(3, 22): 0.4720, 0.0100, 0.0031, 0.2906
(4, 1): 1.4160, 0.0101, 0.0093, 0.0015
(4, 2): -0.3852, 0.0086, 0.0157, 0.0035
(4, 3): 0.5122, 0.0100, 0.0091, 0.0025
(4, 4): 0.2951, 0.0101, 0.0100, 0.0025
(4, 5): 1.3713, 0.0106, 0.0098, 0.0010
(4, 6): 1.2948, 0.0105, 0.0110, 0.0005
(4, 7): -0.3374, 0.0101, 0.0137, 0.0020
(4, 8): -0.3492, 0.0100, 0.0122, 0.0050
(4, 9): 0.1952, 0.0100, 0.0079, 0.0210
(4, 10): 0.7013, 0.0100, 0.0065, 0.0160
(4, 11): 1.4011, 0.0101, 0.0061, 0.0170
(4, 12): -0.2736, 0.0101, 0.0108, 0.0135
(4, 13): -0.3470, 0.0100, 0.0121, 0.0100
(4, 14): 0.4219, 0.0100, 0.0081, 0.0160
(4, 15): -0.3129, 0.0100, 0.0110, 0.0260
(4, 16): 0.4940, 0.0101, 0.0071, 0.0270
(4, 17): -0.2077, 0.0100, 0.0085, 0.0580
(4, 18): 0.4608, 0.0101, 0.0054, 0.0980
(4, 19): -0.1365, 0.0100, 0.0063, 0.1206
(4, 20): 0.4148, 0.0100, 0.0041, 0.1626
(4, 21): 0.4772, 0.0100, 0.0038, 0.2056
(4, 22): 0.4745, 0.0100, 0.0037, 0.1971
(5, 1): 0.3412, 0.0100, 0.0100, 0.0025
(5, 2): 1.4058, 0.0102, 0.0087, 0.0040
(5, 3): 1.3687, 0.0103, 0.0081, 0.0010
(5, 4): -0.3920, 0.0101, 0.0124, 0.0015
(5, 5): -0.4152, 0.0101, 0.0134, 0.0015
(5, 6): 1.4145, 0.0101, 0.0096, 0.0005
(5, 7): 1.3953, 0.0101, 0.0089, 0.0015
(5, 8): 0.2835, 0.0101, 0.0090, 0.0030
(5, 9): -0.3508, 0.0100, 0.0126, 0.0040
(5, 10): 0.4013, 0.0101, 0.0082, 0.0050
(5, 11): -0.2914, 0.0101, 0.0108, 0.0050
(5, 12): -0.3416, 0.0101, 0.0113, 0.0110
(5, 13): -0.4014, 0.0100, 0.0126, 0.0110
(5, 14): 0.6745, 0.0100, 0.0084, 0.0130
(5, 15): 0.4424, 0.0100, 0.0083, 0.0130
